# Selection : patch(inletGeo)
# Faces  :    276
# Area   :    2.444609e-05
# Time        	areaAverage(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0001        	(0.000000e+00 -3.375189e-04 0.000000e+00)
0.000219277   	(0.000000e+00 -3.407524e-04 0.000000e+00)
0.000361027   	(0.000000e+00 -3.446328e-04 0.000000e+00)
0.000530132   	(0.000000e+00 -3.493163e-04 0.000000e+00)
0.000731618   	(0.000000e+00 -3.549745e-04 0.000000e+00)
0.000969269   	(0.000000e+00 -3.617586e-04 0.000000e+00)
0.00125148    	(0.000000e+00 -3.699725e-04 0.000000e+00)
0.00158796    	(0.000000e+00 -3.799942e-04 0.000000e+00)
0.00198853    	(0.000000e+00 -3.922563e-04 0.000000e+00)
0.0024598     	(0.000000e+00 -4.071563e-04 0.000000e+00)
0.00299838    	(0.000000e+00 -4.248330e-04 0.000000e+00)
0.00363489    	(0.000000e+00 -4.466487e-04 0.000000e+00)
0.00434213    	(0.000000e+00 -4.721151e-04 0.000000e+00)
0.00515039    	(0.000000e+00 -5.028791e-04 0.000000e+00)
0.00612032    	(0.000000e+00 -5.422663e-04 0.000000e+00)
0.00709024    	(0.000000e+00 -5.845183e-04 0.000000e+00)
0.00806016    	(0.000000e+00 -6.298256e-04 0.000000e+00)
0.00903008    	(0.000000e+00 -6.783893e-04 0.000000e+00)
0.01          	(0.000000e+00 -7.304228e-04 0.000000e+00)
0.0111111     	(0.000000e+00 -7.945858e-04 0.000000e+00)
0.012381      	(0.000000e+00 -8.743162e-04 0.000000e+00)
0.0139048     	(0.000000e+00 -9.797877e-04 0.000000e+00)
0.0154286     	(0.000000e+00 -1.096963e-03 0.000000e+00)
0.0169524     	(0.000000e+00 -1.227012e-03 0.000000e+00)
0.0184762     	(0.000000e+00 -1.371204e-03 0.000000e+00)
0.02          	(0.000000e+00 -1.530919e-03 0.000000e+00)
0.0216667     	(0.000000e+00 -1.725148e-03 0.000000e+00)
0.0233333     	(0.000000e+00 -1.941859e-03 0.000000e+00)
0.025         	(0.000000e+00 -2.183367e-03 0.000000e+00)
0.0266667     	(0.000000e+00 -2.452185e-03 0.000000e+00)
0.0283333     	(0.000000e+00 -2.751041e-03 0.000000e+00)
0.03          	(0.000000e+00 -3.082892e-03 0.000000e+00)
0.032         	(0.000000e+00 -3.529189e-03 0.000000e+00)
0.034         	(0.000000e+00 -4.033636e-03 0.000000e+00)
0.036         	(0.000000e+00 -4.602816e-03 0.000000e+00)
0.038         	(0.000000e+00 -5.243914e-03 0.000000e+00)
