# Selection : patch(outletGeo)
# Faces  :    94
# Area   :    8.762406e-06
# Time        	areaAverage(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0001        	(-2.219446e-04 2.044033e-04 -6.994250e-11)
0.000219277   	(-5.484710e-04 5.066952e-04 -7.668719e-11)
0.000361027   	(-8.550942e-04 7.930193e-04 7.527106e-11)
0.000530132   	(-1.055364e-03 9.833110e-04 3.292093e-10)
0.000731618   	(-1.106158e-03 1.037215e-03 6.945250e-10)
0.000969269   	(-1.022119e-03 9.663591e-04 1.072545e-09)
0.00125148    	(-8.640523e-04 8.249867e-04 1.285260e-09)
0.00158796    	(-7.050457e-04 6.798612e-04 1.145112e-09)
0.00198853    	(-6.038534e-04 5.856962e-04 6.685066e-10)
0.0024598     	(-5.917166e-04 5.726707e-04 -5.311062e-11)
0.00299838    	(-6.660877e-04 6.401307e-04 -8.112146e-10)
0.00363489    	(-7.990047e-04 7.635203e-04 -1.479412e-09)
0.00434213    	(-9.470065e-04 9.030150e-04 -1.778230e-09)
0.00515039    	(-1.081772e-03 1.031968e-03 -1.783147e-09)
0.00612032    	(-1.192846e-03 1.139896e-03 -1.498097e-09)
0.00709024    	(-1.266280e-03 1.212266e-03 -1.054104e-09)
0.00806016    	(-1.319854e-03 1.265091e-03 -5.755789e-10)
0.00903008    	(-1.373832e-03 1.317189e-03 -1.540506e-10)
0.01          	(-1.443936e-03 1.383534e-03 1.786457e-10)
0.0111111     	(-1.548629e-03 1.481952e-03 4.042430e-10)
0.012381      	(-1.696801e-03 1.621275e-03 5.084698e-10)
0.0139048     	(-1.901347e-03 1.814057e-03 4.939793e-10)
0.0154286     	(-2.141648e-03 2.041035e-03 4.201064e-10)
0.0169524     	(-2.413278e-03 2.298121e-03 3.485266e-10)
0.0184762     	(-2.712437e-03 2.581650e-03 3.251513e-10)
0.02          	(-3.037852e-03 2.890256e-03 3.681721e-10)
0.0216667     	(-3.415427e-03 3.248262e-03 4.707200e-10)
0.0233333     	(-3.835014e-03 3.645787e-03 6.300147e-10)
0.025         	(-4.304864e-03 4.090670e-03 8.253115e-10)
0.0266667     	(-4.832018e-03 4.589707e-03 1.035409e-09)
0.0283333     	(-5.422242e-03 5.148532e-03 1.244403e-09)
0.03          	(-6.080528e-03 5.772034e-03 1.445012e-09)
0.032         	(-6.912878e-03 6.560478e-03 1.600818e-09)
0.034         	(-7.871917e-03 7.468438e-03 1.753802e-09)
0.036         	(-8.976134e-03 8.513674e-03 1.930496e-09)
0.038         	(-1.023727e-02 9.707663e-03 2.153284e-09)
0.04          	(-1.166396e-02 1.105893e-02 2.438656e-09)
0.042         	(-1.326547e-02 1.257656e-02 2.795707e-09)
0.044         	(-1.505446e-02 1.427276e-02 3.225765e-09)
0.046         	(-1.704801e-02 1.616383e-02 3.723475e-09)
0.048         	(-1.926737e-02 1.827004e-02 4.279242e-09)
0.05          	(-2.173689e-02 2.061460e-02 4.883166e-09)
0.052         	(-2.448279e-02 2.322254e-02 5.522929e-09)
0.0536        	(-2.711395e-02 2.572390e-02 6.295764e-09)
0.0552        	(-2.990013e-02 2.837717e-02 7.075980e-09)
0.0568        	(-3.283234e-02 3.117284e-02 7.830053e-09)
0.0578667     	(-3.516868e-02 3.340567e-02 9.002247e-09)
0.0589333     	(-3.749859e-02 3.563901e-02 9.977047e-09)
0.06          	(-3.982659e-02 3.787383e-02 1.019524e-08)
0.0611111     	(-4.226931e-02 4.021797e-02 9.943234e-09)
0.0622222     	(-4.482968e-02 4.267121e-02 9.436408e-09)
0.0631944     	(-4.730540e-02 4.504088e-02 8.911014e-09)
0.0641667     	(-4.990332e-02 4.752608e-02 8.398162e-09)
0.065         	(-5.233035e-02 4.984860e-02 8.067887e-09)
0.0658333     	(-5.481066e-02 5.222336e-02 7.846500e-09)
0.0666667     	(-5.733881e-02 5.464362e-02 7.737554e-09)
0.0673333     	(-5.952316e-02 5.673688e-02 7.811027e-09)
0.068         	(-6.171239e-02 5.883619e-02 7.928742e-09)
0.0686667     	(-6.391711e-02 6.094917e-02 8.054436e-09)
0.0693333     	(-6.616052e-02 6.309607e-02 8.152135e-09)
0.07          	(-6.846687e-02 6.529894e-02 8.197835e-09)
0.070625      	(-7.073869e-02 6.746573e-02 8.200805e-09)
0.07125       	(-7.307756e-02 6.969383e-02 8.148071e-09)
0.0718333     	(-7.535794e-02 7.186490e-02 8.067627e-09)
0.0724167     	(-7.768156e-02 7.407588e-02 7.947499e-09)
0.0729583     	(-7.991434e-02 7.619995e-02 7.837220e-09)
0.0735        	(-8.217208e-02 7.834667e-02 7.734677e-09)
0.0740417     	(-8.445990e-02 8.051979e-02 7.656873e-09)
0.0745382     	(-8.663526e-02 8.258499e-02 7.631172e-09)
0.0750347     	(-8.883900e-02 8.467556e-02 7.601006e-09)
0.0755313     	(-9.107673e-02 8.679597e-02 7.551701e-09)
0.0759781     	(-9.317537e-02 8.878396e-02 7.504880e-09)
0.076425      	(-9.529742e-02 9.079319e-02 7.434360e-09)
0.0768719     	(-9.744427e-02 9.282405e-02 7.335603e-09)
0.0773188     	(-9.962129e-02 9.488106e-02 7.216296e-09)
0.0777018     	(-1.015810e-01 9.673338e-02 7.131428e-09)
0.0780848     	(-1.035519e-01 9.859639e-02 7.037533e-09)
0.0784679     	(-1.055331e-01 1.004678e-01 6.926459e-09)
0.0788509     	(-1.075301e-01 1.023520e-01 6.801962e-09)
0.0792339     	(-1.095509e-01 1.042559e-01 6.672069e-09)
0.079617      	(-1.116022e-01 1.061860e-01 6.541844e-09)
0.08          	(-1.136885e-01 1.081467e-01 6.423461e-09)
0.0803704     	(-1.157552e-01 1.100879e-01 6.337840e-09)
0.0807407     	(-1.178507e-01 1.120552e-01 6.279961e-09)
0.0810969     	(-1.199076e-01 1.139860e-01 6.253609e-09)
0.081453      	(-1.219831e-01 1.159338e-01 6.224891e-09)
0.0817949     	(-1.240106e-01 1.178365e-01 6.207124e-09)
0.0821368     	(-1.260529e-01 1.197525e-01 6.188223e-09)
0.0824786     	(-1.281132e-01 1.216843e-01 6.167393e-09)
0.0828056     	(-1.301240e-01 1.235692e-01 6.157754e-09)
0.0831327     	(-1.321542e-01 1.254717e-01 6.143338e-09)
0.0834448     	(-1.341310e-01 1.273243e-01 6.132614e-09)
0.083757      	(-1.361237e-01 1.291916e-01 6.109248e-09)
0.0840691     	(-1.381332e-01 1.310736e-01 6.071218e-09)
0.0843813     	(-1.401616e-01 1.329725e-01 6.019041e-09)
0.084677      	(-1.421254e-01 1.348111e-01 5.981736e-09)
0.0849727     	(-1.441046e-01 1.366642e-01 5.940463e-09)
0.0852684     	(-1.460988e-01 1.385307e-01 5.894546e-09)
0.0855468     	(-1.480148e-01 1.403248e-01 5.864363e-09)
0.0858251     	(-1.499414e-01 1.421289e-01 5.831612e-09)
0.0861034     	(-1.518790e-01 1.439428e-01 5.792851e-09)
0.0863817     	(-1.538303e-01 1.457688e-01 5.746365e-09)
0.0866601     	(-1.557985e-01 1.476098e-01 5.699184e-09)
0.086917      	(-1.576637e-01 1.493556e-01 5.679985e-09)
0.0871739     	(-1.595397e-01 1.511122e-01 5.658509e-09)
0.0874308     	(-1.614245e-01 1.528771e-01 5.616721e-09)
0.0876877     	(-1.633192e-01 1.546507e-01 5.558808e-09)
0.0879447     	(-1.652265e-01 1.564355e-01 5.497139e-09)
0.0882016     	(-1.671491e-01 1.582340e-01 5.439020e-09)
0.0884264     	(-1.688933e-01 1.598684e-01 5.424205e-09)
0.0886512     	(-1.706420e-01 1.615088e-01 5.407546e-09)
0.088876      	(-1.723915e-01 1.631503e-01 5.383805e-09)
0.0891008     	(-1.741432e-01 1.647932e-01 5.347558e-09)
0.0893256     	(-1.759012e-01 1.664411e-01 5.296484e-09)
0.0895504     	(-1.776698e-01 1.680978e-01 5.237522e-09)
0.0897752     	(-1.794522e-01 1.697666e-01 5.175115e-09)
0.09          	(-1.812495e-01 1.714491e-01 5.114113e-09)
0.0902326     	(-1.831114e-01 1.731908e-01 5.049226e-09)
0.0904651     	(-1.849907e-01 1.749486e-01 4.998242e-09)
0.0906921     	(-1.868517e-01 1.766901e-01 4.977128e-09)
0.0909192     	(-1.887264e-01 1.784454e-01 4.980097e-09)
0.0911406     	(-1.905761e-01 1.801788e-01 5.013553e-09)
0.0913621     	(-1.924343e-01 1.819211e-01 5.058468e-09)
0.0915836     	(-1.943010e-01 1.836720e-01 5.111061e-09)
0.0917994     	(-1.961396e-01 1.853976e-01 5.174636e-09)
0.0920152     	(-1.979880e-01 1.871330e-01 5.229955e-09)
0.0922253     	(-1.998082e-01 1.888431e-01 5.283455e-09)
0.0924355     	(-2.016381e-01 1.905628e-01 5.321266e-09)
0.0926456     	(-2.034776e-01 1.922920e-01 5.337267e-09)
0.0928499     	(-2.052868e-01 1.939938e-01 5.347702e-09)
0.0930542     	(-2.071048e-01 1.957045e-01 5.341517e-09)
0.0932585     	(-2.089312e-01 1.974236e-01 5.324253e-09)
0.0934567     	(-2.107238e-01 1.991119e-01 5.312084e-09)
0.093655      	(-2.125237e-01 2.008079e-01 5.293420e-09)
0.0938533     	(-2.143307e-01 2.025110e-01 5.272466e-09)
0.0940454     	(-2.161009e-01 2.041804e-01 5.263705e-09)
0.0942375     	(-2.178778e-01 2.058569e-01 5.255239e-09)
0.0944296     	(-2.196614e-01 2.075402e-01 5.241736e-09)
0.0946216     	(-2.214527e-01 2.092308e-01 5.227352e-09)
0.0948071     	(-2.232037e-01 2.108847e-01 5.226637e-09)
0.0949926     	(-2.249621e-01 2.125463e-01 5.222979e-09)
0.095178      	(-2.267270e-01 2.142146e-01 5.216752e-09)
0.0953635     	(-2.284988e-01 2.158897e-01 5.208265e-09)
0.0955489     	(-2.302785e-01 2.175726e-01 5.199311e-09)
0.095727      	(-2.320105e-01 2.192118e-01 5.206959e-09)
0.095905      	(-2.337493e-01 2.208586e-01 5.215896e-09)
0.0960831     	(-2.354936e-01 2.225110e-01 5.218699e-09)
0.0962611     	(-2.372435e-01 2.241692e-01 5.218512e-09)
0.0964392     	(-2.390001e-01 2.258341e-01 5.216550e-09)
0.0966087     	(-2.406985e-01 2.274454e-01 5.231632e-09)
0.0967783     	(-2.424028e-01 2.290635e-01 5.245867e-09)
0.0969478     	(-2.441114e-01 2.306863e-01 5.250459e-09)
0.0971174     	(-2.458245e-01 2.323137e-01 5.248205e-09)
0.097287      	(-2.475433e-01 2.339465e-01 5.240785e-09)
0.0974565     	(-2.492689e-01 2.355861e-01 5.230838e-09)
0.0976261     	(-2.510024e-01 2.372334e-01 5.221206e-09)
0.0977844     	(-2.526529e-01 2.388043e-01 5.232532e-09)
0.0979426     	(-2.543083e-01 2.403816e-01 5.249459e-09)
0.0981009     	(-2.559654e-01 2.419615e-01 5.261346e-09)
0.0982591     	(-2.576242e-01 2.435431e-01 5.261919e-09)
0.0984174     	(-2.592859e-01 2.451276e-01 5.255250e-09)
0.0985757     	(-2.609527e-01 2.467169e-01 5.243627e-09)
0.0987339     	(-2.626261e-01 2.483124e-01 5.229841e-09)
0.0988922     	(-2.643070e-01 2.499153e-01 5.216754e-09)
0.0990504     	(-2.659954e-01 2.515258e-01 5.207123e-09)
0.0992087     	(-2.676913e-01 2.531440e-01 5.203430e-09)
0.0993406     	(-2.691692e-01 2.545605e-01 5.309913e-09)
0.0994725     	(-2.706491e-01 2.559827e-01 5.426360e-09)
0.0996044     	(-2.721226e-01 2.574001e-01 5.379117e-09)
0.0997362     	(-2.735886e-01 2.588102e-01 5.204916e-09)
0.0998681     	(-2.750499e-01 2.602146e-01 4.954826e-09)
0.1           	(-2.765107e-01 2.616171e-01 4.669749e-09)
0.100149      	(-2.781232e-01 2.631599e-01 4.333646e-09)
0.100299      	(-2.797443e-01 2.647078e-01 4.057732e-09)
0.100448      	(-2.813802e-01 2.662690e-01 3.888676e-09)
0.100595      	(-2.830111e-01 2.678267e-01 3.848893e-09)
0.100742      	(-2.846526e-01 2.693965e-01 3.929564e-09)
0.100886      	(-2.862806e-01 2.709559e-01 4.113861e-09)
0.101031      	(-2.879123e-01 2.725207e-01 4.366576e-09)
0.101176      	(-2.895467e-01 2.740894e-01 4.651712e-09)
0.101318      	(-2.911648e-01 2.756438e-01 4.939914e-09)
0.10146       	(-2.927884e-01 2.772043e-01 5.202843e-09)
0.1016        	(-2.943981e-01 2.787525e-01 5.425756e-09)
0.10174       	(-2.960149e-01 2.803080e-01 5.589688e-09)
0.10188       	(-2.976381e-01 2.818704e-01 5.694497e-09)
0.102018      	(-2.992461e-01 2.834192e-01 5.753559e-09)
0.102156      	(-3.008593e-01 2.849739e-01 5.767523e-09)
0.102293      	(-3.024762e-01 2.865328e-01 5.751012e-09)
0.102428      	(-3.040745e-01 2.880751e-01 5.726658e-09)
0.102564      	(-3.056759e-01 2.896211e-01 5.693968e-09)
0.102699      	(-3.072799e-01 2.911701e-01 5.662331e-09)
0.102832      	(-3.088644e-01 2.927014e-01 5.645856e-09)
0.102964      	(-3.104523e-01 2.942366e-01 5.634143e-09)
0.103097      	(-3.120433e-01 2.957754e-01 5.628049e-09)
0.103227      	(-3.136149e-01 2.972964e-01 5.635380e-09)
0.103358      	(-3.151903e-01 2.988217e-01 5.642153e-09)
0.103488      	(-3.167690e-01 3.003507e-01 5.647735e-09)
0.103618      	(-3.183510e-01 3.018833e-01 5.646123e-09)
0.103746      	(-3.199127e-01 3.033972e-01 5.650520e-09)
0.103873      	(-3.214784e-01 3.049156e-01 5.651105e-09)
0.104001      	(-3.230471e-01 3.064375e-01 5.650615e-09)
0.104126      	(-3.245939e-01 3.079393e-01 5.660350e-09)
0.104251      	(-3.261439e-01 3.094449e-01 5.668167e-09)
0.104376      	(-3.276964e-01 3.109532e-01 5.674708e-09)
0.104501      	(-3.292515e-01 3.124644e-01 5.679547e-09)
0.104623      	(-3.307834e-01 3.139539e-01 5.693992e-09)
0.104745      	(-3.323189e-01 3.154476e-01 5.705137e-09)
0.104867      	(-3.338570e-01 3.169442e-01 5.713231e-09)
0.10499       	(-3.353977e-01 3.184436e-01 5.718040e-09)
0.105112      	(-3.369414e-01 3.199461e-01 5.720712e-09)
0.105231      	(-3.384599e-01 3.214251e-01 5.734773e-09)
0.10535       	(-3.399820e-01 3.229084e-01 5.747130e-09)
0.10547       	(-3.415066e-01 3.243946e-01 5.757762e-09)
0.105589      	(-3.430334e-01 3.258832e-01 5.766092e-09)
0.105708      	(-3.445628e-01 3.273746e-01 5.772833e-09)
0.105824      	(-3.460641e-01 3.288397e-01 5.792035e-09)
0.10594       	(-3.475690e-01 3.303090e-01 5.809193e-09)
0.106056      	(-3.490761e-01 3.317810e-01 5.823229e-09)
0.106172      	(-3.505852e-01 3.332551e-01 5.832985e-09)
0.106288      	(-3.520966e-01 3.347315e-01 5.838466e-09)
0.1064        	(-3.535763e-01 3.361782e-01 5.855424e-09)
0.106513      	(-3.550593e-01 3.376290e-01 5.868966e-09)
0.106625      	(-3.565441e-01 3.390819e-01 5.878042e-09)
0.106738      	(-3.580303e-01 3.405363e-01 5.882039e-09)
0.10685       	(-3.595182e-01 3.419924e-01 5.882207e-09)
0.106963      	(-3.610084e-01 3.434509e-01 5.880626e-09)
0.107075      	(-3.625015e-01 3.449123e-01 5.879537e-09)
0.107184      	(-3.639563e-01 3.463377e-01 5.898111e-09)
0.107292      	(-3.654149e-01 3.477678e-01 5.920768e-09)
0.1074        	(-3.668748e-01 3.491999e-01 5.937899e-09)
0.107509      	(-3.683355e-01 3.506327e-01 5.950283e-09)
0.107617      	(-3.697971e-01 3.520666e-01 5.957966e-09)
0.107725      	(-3.712605e-01 3.535021e-01 5.962258e-09)
0.107834      	(-3.727264e-01 3.549401e-01 5.964974e-09)
0.107942      	(-3.741953e-01 3.563811e-01 5.968091e-09)
0.10805       	(-3.756675e-01 3.578256e-01 5.973309e-09)
