# Selection : patch(wallsGeo)
# Faces  :    6548
# Area   :    1.487874e-04
# Time        	areaAverage(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0001        	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000219277   	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000361027   	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000530132   	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000731618   	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000969269   	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00125148    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00158796    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00198853    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0024598     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00299838    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00363489    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00434213    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00515039    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00612032    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00709024    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00806016    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00903008    	(0.000000e+00 0.000000e+00 0.000000e+00)
0.01          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0111111     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.012381      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0139048     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0154286     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0169524     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0184762     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.02          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0216667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0233333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.025         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0266667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0283333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.03          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.032         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.034         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.036         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.038         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.04          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.042         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.044         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.046         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.048         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.05          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.052         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0536        	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0552        	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0568        	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0578667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0589333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.06          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0611111     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0622222     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0631944     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0641667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.065         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0658333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0666667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0673333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.068         	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0686667     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0693333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.07          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.070625      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.07125       	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0718333     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0724167     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0729583     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0735        	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0740417     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0745382     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0750347     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0755313     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0759781     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.076425      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0768719     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0773188     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0777018     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0780848     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0784679     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0788509     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0792339     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.079617      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.08          	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0803704     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0807407     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0810969     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.081453      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0817949     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0821368     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0824786     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0828056     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0831327     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0834448     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.083757      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0840691     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0843813     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.084677      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0849727     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0852684     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0855468     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0858251     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0861034     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0863817     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0866601     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.086917      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0871739     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0874308     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0876877     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0879447     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0882016     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0884264     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0886512     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.088876      	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0891008     	(0.000000e+00 0.000000e+00 0.000000e+00)
0.0893256     	(0.000000e+00 0.000000e+00 0.000000e+00)
