# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	wallsGeo	(-0.000000e+00 -0.000000e+00 -0.000000e+00)	(-0.000000e+00 -0.000000e+00 -0.000000e+00)
1.000000e-02	wallsGeo	(-1.772583e-05 -3.721363e-05 -7.657314e-06)	(5.082874e-05 3.130978e-05 7.657408e-06)
2.000000e-02	wallsGeo	(-3.054772e-05 -6.456677e-05 -1.491920e-05)	(8.940524e-05 4.994851e-05 1.491804e-05)
3.000000e-02	wallsGeo	(-5.853952e-05 -1.198373e-04 -2.805211e-05)	(1.661089e-04 8.884480e-05 2.805009e-05)
4.000000e-02	wallsGeo	(-1.066400e-04 -2.161676e-04 -5.364069e-05)	(2.989907e-04 1.558582e-04 5.363601e-05)
5.000000e-02	wallsGeo	(-1.971225e-04 -3.921827e-04 -1.033310e-04)	(5.448324e-04 2.813233e-04 1.033311e-04)
6.000000e-02	wallsGeo	(-3.815402e-04 -7.290448e-04 -2.196883e-04)	(1.044324e-03 5.536521e-04 2.196886e-04)
7.000000e-02	wallsGeo	(-6.557059e-04 -1.217594e-03 -4.448681e-04)	(1.897828e-03 1.081405e-03 4.448684e-04)
8.000000e-02	wallsGeo	(-1.059270e-03 -2.076110e-03 -8.060533e-04)	(3.286804e-03 2.069494e-03 8.060544e-04)
9.000000e-02	wallsGeo	(-1.647611e-03 -3.844434e-03 -1.225310e-03)	(5.423276e-03 3.890515e-03 1.225311e-03)
1.000000e-01	wallsGeo	(-2.488475e-03 -6.663901e-03 -1.702847e-03)	(9.520674e-03 6.944594e-03 1.702848e-03)
1.100000e-01	wallsGeo	(-3.627881e-03 -1.091114e-02 -2.774507e-03)	(1.474165e-02 1.136420e-02 2.774507e-03)
1.200000e-01	wallsGeo	(-5.064812e-03 -1.681516e-02 -4.274618e-03)	(2.031547e-02 1.687858e-02 4.274617e-03)
1.300000e-01	wallsGeo	(-8.535095e-03 -2.448981e-02 -6.196261e-03)	(2.557977e-02 2.280722e-02 6.196260e-03)
1.400000e-01	wallsGeo	(-1.036136e-02 -3.378149e-02 -8.425700e-03)	(3.064114e-02 2.817701e-02 8.425698e-03)
1.500000e-01	wallsGeo	(-1.297078e-02 -4.361176e-02 -1.086663e-02)	(3.805684e-02 3.240303e-02 1.086663e-02)
1.600000e-01	wallsGeo	(-1.737214e-02 -5.342694e-02 -1.318627e-02)	(4.643514e-02 3.553915e-02 1.318626e-02)
1.700000e-01	wallsGeo	(-1.963620e-02 -6.202484e-02 -1.528463e-02)	(5.379924e-02 3.785072e-02 1.528463e-02)
1.800000e-01	wallsGeo	(-2.173597e-02 -6.898088e-02 -1.694236e-02)	(5.974742e-02 3.919411e-02 1.694236e-02)
1.900000e-01	wallsGeo	(-2.295999e-02 -7.344763e-02 -1.803899e-02)	(6.356902e-02 3.910900e-02 1.803899e-02)
2.000000e-01	wallsGeo	(-2.184502e-02 -7.506873e-02 -1.841902e-02)	(6.496479e-02 3.745433e-02 1.841902e-02)
